Loading model from train_sessions\train_sess_1\trained_models\lenet_pruned_1420step_0.9481accuracy.torchmodel
Initial accuracy = 0.9462
Pruning Threshold = 0.30220787320286036
Number of pruned params = 4353 out of 61706 total params
Fraction of params pruned = 7.054419343337763%
Fraction of zero params = 93.3215570609017%
Accuracy after pruning = 0.3191
Iter 350, loss = 1.5889209508895874
Iter 351, loss = 1.5701695680618286
Iter 352, loss = 1.5668977499008179
Iter 353, loss = 1.5319198369979858
Iter 354, loss = 1.4956926107406616
Iter 355, loss = 1.5621209144592285
Iter 356, loss = 1.4266142845153809
Iter 357, loss = 1.4037951231002808
Iter 358, loss = 1.5365805625915527
Iter 359, loss = 1.56290602684021
Iter 360, loss = 1.574524164199829
Iter 361, loss = 1.6617586612701416
Iter 362, loss = 1.6982789039611816
Iter 363, loss = 1.7783102989196777
Iter 364, loss = 1.402145266532898
Iter 365, loss = 1.74433434009552
Iter 366, loss = 1.7191121578216553
Iter 367, loss = 1.4375523328781128
Iter 368, loss = 1.556908130645752
Iter 369, loss = 1.5161757469177246
Iter 370, loss = 1.6134388446807861
Iter 371, loss = 1.706687331199646
Iter 372, loss = 1.5323807001113892
Iter 373, loss = 1.7469804286956787
Iter 374, loss = 1.6486986875534058
Iter 375, loss = 1.8311187028884888
Iter 376, loss = 1.542707085609436
Iter 377, loss = 1.7603309154510498
Iter 378, loss = 1.5749480724334717
Iter 379, loss = 1.5188995599746704
Iter 380, loss = 1.7458014488220215
Iter 381, loss = 1.5620033740997314
Iter 382, loss = 1.4648520946502686
Iter 383, loss = 1.6684497594833374
Iter 384, loss = 1.5510963201522827
Iter 385, loss = 1.652600884437561
Iter 386, loss = 1.5616647005081177
Iter 387, loss = 1.6695137023925781
Iter 388, loss = 1.509275197982788
Iter 389, loss = 1.6501017808914185
Iter 390, loss = 1.6474295854568481
Iter 391, loss = 1.7986302375793457
Iter 392, loss = 1.395851492881775
Iter 393, loss = 1.6634421348571777
Iter 394, loss = 1.6672234535217285
Iter 395, loss = 1.6451354026794434
Iter 396, loss = 1.7422897815704346
Iter 397, loss = 1.4083306789398193
Iter 398, loss = 1.6193495988845825
Iter 399, loss = 1.5426329374313354
Iter 400, loss = 1.7777425050735474
Iter 401, loss = 1.529692530632019
Iter 402, loss = 1.7753710746765137
Iter 403, loss = 1.782536506652832
Iter 404, loss = 1.914824366569519
Iter 405, loss = 1.5684595108032227
Iter 406, loss = 1.5510029792785645
Iter 407, loss = 1.63320791721344
Iter 408, loss = 1.8019239902496338
Iter 409, loss = 1.6059330701828003
Iter 410, loss = 1.6227576732635498
Iter 411, loss = 1.852341890335083
Iter 412, loss = 1.4878230094909668
Iter 413, loss = 1.5582692623138428
Iter 414, loss = 1.447239637374878
Iter 415, loss = 1.6039437055587769
Iter 416, loss = 1.5593551397323608
Iter 417, loss = 1.6175000667572021
Iter 418, loss = 1.6123729944229126
Iter 419, loss = 1.9638094902038574
Iter 420, loss = 1.4328083992004395
Iter 421, loss = 1.5283548831939697
Iter 422, loss = 1.8390576839447021
Iter 423, loss = 1.6610243320465088
Iter 424, loss = 1.8119633197784424
Iter 425, loss = 1.4738764762878418
Iter 426, loss = 1.6203103065490723
Iter 427, loss = 1.7581257820129395
Iter 428, loss = 1.6316592693328857
Iter 429, loss = 1.6321173906326294
Iter 430, loss = 1.3800337314605713
Iter 431, loss = 1.7113591432571411
Iter 432, loss = 1.4939180612564087
Iter 433, loss = 1.6830596923828125
Iter 434, loss = 1.635140061378479
Iter 435, loss = 1.7519370317459106
Iter 436, loss = 1.2575641870498657
Iter 437, loss = 1.5658355951309204
Iter 438, loss = 1.8228554725646973
Iter 439, loss = 1.3823620080947876
Iter 440, loss = 1.4231704473495483
Iter 441, loss = 1.4492886066436768
Iter 442, loss = 1.6378589868545532
Iter 443, loss = 1.7223519086837769
Iter 444, loss = 1.6394840478897095
Iter 445, loss = 1.5198594331741333
Iter 446, loss = 1.5739667415618896
Iter 447, loss = 1.7761051654815674
Iter 448, loss = 1.5681928396224976
Iter 449, loss = 1.4667432308197021
Iter 450, loss = 1.5234020948410034
Iter 451, loss = 1.4809253215789795
Iter 452, loss = 1.622580647468567
Iter 453, loss = 1.5615884065628052
Iter 454, loss = 1.4465020895004272
Iter 455, loss = 1.4135830402374268
Iter 456, loss = 1.5746564865112305
Iter 457, loss = 1.818293809890747
